[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-10 15:48:42.468 [cefgetfile] INFO: [client] Config directory is ./h18
2026-02-10 15:48:42.468 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.18
2026-02-10 15:48:42.468 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/test/data/content2
[cefgetfile] Start sending Interests
2026-02-10 15:48:42.541 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.543 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.545 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.547 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.549 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.552 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.552 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.554 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.555 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.556 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.557 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.559 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.560 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.561 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.563 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.564 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.565 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.567 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.568 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.568 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:48:42.570 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
