[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-10 15:47:32.132 [cefgetfile] INFO: [client] Config directory is ./h1
2026-02-10 15:47:32.132 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.1
2026-02-10 15:47:32.132 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/video/stream/content1
[cefgetfile] Start sending Interests
2026-02-10 15:47:32.305 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.307 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.308 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.310 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.311 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.313 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.314 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.315 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.317 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.318 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.318 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.319 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.322 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.323 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.323 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.324 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.324 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.326 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.326 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.329 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.329 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.330 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 15:47:32.330 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
