[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-12 14:11:57.825 [cefgetfile] INFO: [client] Config directory is ./h18
2026-02-12 14:11:57.825 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.18
2026-02-12 14:11:57.825 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/test/data/content2
[cefgetfile] Start sending Interests
2026-02-12 14:11:57.902 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.905 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.916 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.918 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.920 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.922 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.924 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.925 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.927 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.929 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.930 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.933 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.935 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 14:11:57.936 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
