[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-12 10:42:24.682 [cefgetfile] INFO: [client] Config directory is ./h1
2026-02-12 10:42:24.682 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.1
2026-02-12 10:42:24.682 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/video/stream/content1
[cefgetfile] Start sending Interests
2026-02-12 10:42:24.872 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.875 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.875 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.876 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.877 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.878 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.879 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.880 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.880 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.881 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.881 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.882 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.883 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.885 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.886 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.886 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.887 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.887 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.890 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.890 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.891 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.891 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.892 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.892 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.893 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.893 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.894 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.898 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.898 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.899 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.900 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.900 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.901 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.901 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.901 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.902 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.905 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.905 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.906 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.906 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.908 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.908 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.908 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.908 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-12 10:42:24.909 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
