[cefgetfile] Start
[cefgetfile] Parsing parameters ...OK
2026-02-10 17:06:10.360 [cefgetfile] INFO: [client] Config directory is ./h18
2026-02-10 17:06:10.360 [cefgetfile] INFO: [client] Local Socket Name is /tmp/cef_9695.18
2026-02-10 17:06:10.360 [cefgetfile] INFO: [client] Listen Port is 9695
[cefgetfile] Init Cefore Client package ... OK
[cefgetfile] Conversion from URI into Name ... OK
[cefgetfile] Checking the output file ... OK
[cefgetfile] Connect to cefnetd ... OK
[cefgetfile] URI=ccnx:/test/data/content2
[cefgetfile] Start sending Interests
2026-02-10 17:06:10.438 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.450 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.452 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.454 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.456 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.458 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.459 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.461 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.464 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.464 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.466 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.467 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.468 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.469 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.471 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.472 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.474 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.475 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.476 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
2026-02-10 17:06:10.476 [cefgetfile] WARNING: Unknown VALIDATION_ALG:type=2, length=0
